C0452189;C80.9;M-9687/3
C0452192;C80.9;M-9591/3
C0474962;C00.0;M-8000/3
C0432520;C00.1;M-8000/3
C0546836;C00.2;M-8000/3
C0432579;C00.3;M-8000/3
C0733940;C00.4;M-8000/3
C0474971;C00.5;M-8000/3
C0153346;C00.6;M-8000/3
C0496754;C00.8;M-8000/3
C0153340;C00.9;M-8000/3
C0153350;C01.9;M-8000/3
C0153351;C02.0;M-8000/3
C0496755;C02.1;M-8000/3
C0684333;C02.2;M-8000/3
C0153354;C02.3;M-8000/3
C0153356;C02.4;M-8000/3
C0496756;C02.8;M-8000/3
C0153349;C02.9;M-8000/3
C0153365;C03.0;M-8000/3
C0432581;C03.1;M-8000/3
C0153364;C03.9;M-8000/3
C0153369;C04.0;M-8000/3
C0496758;C04.1;M-8000/3
C0349046;C04.8;M-8000/3
C0153368;C04.9;M-8000/3
C0153375;C05.0;M-8000/3
C0153376;C05.1;M-8000/3
C0153377;C05.2;M-8000/3
C0496760;C05.8;M-8000/3
C0153378;C05.9;M-8000/3
C0153373;C06.0;M-8000/3
C0153374;C06.1;M-8000/3
C0153379;C06.2;M-8000/3
C0496761;C06.8;M-8000/3
C0153381;C06.9;M-8000/3
C0747273;C07.9;M-8000/3
C0153360;C08.0;M-8000/3
C0153361;C08.1;M-8000/3
C0349047;C08.8;M-8000/3
C0496763;C08.9;M-8000/3
C0153384;C09.0;M-8000/3
C0153385;C09.1;M-8000/3
C1264197;C09.8;M-8000/3
C0751560;C09.9;M-8000/3
C0153386;C10.0;M-8000/3
C0496765;C10.1;M-8000/3
C0153389;C10.2;M-8000/3
C0153390;C10.3;M-8000/3
C0496766;C10.4;M-8000/3
C0496767;C10.8;M-8000/3
C0153382;C10.9;M-8000/3
C0153393;C11.0;M-8000/3
C0153394;C11.1;M-8000/3
C0153395;C11.2;M-8000/3
C0153396;C11.3;M-8000/3
C0349038;C11.8;M-8000/3
C0153392;C11.9;M-8000/3
C0153400;C12.9;M-8000/3
C0496769;C13.0;M-8000/3
C0153401;C13.1;M-8000/3
C0496770;C13.2;M-8000/3
C0349039;C13.8;M-8000/3
